,Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7,Top 8,Top 9,Top 10
Topic 1,sales,experience,training,benefits,commission,education,management,annual,performance,leave
Topic 2,teaching,school,students,high,technology,information,experience,teacher,teachers,education
Topic 3,benefits,00,paid,training,insurances,group,annual,education,school,fund
Topic 4,education,market,industry,sales,skills,experience,strong,responsible,management,marketing
Topic 5,live,broadcast,experience,strong,responsible,college,content,education,entrance,planning
,,,,,,,,,,
,,,,,,,,,,
"Topic 1	Sales-Oriented Educational Operations",,,,,,,,,,
"Topic 2	Frontline Teaching Positions (K12/Training)",,,,,,,,,,
"Topic 3	Staff Welfare and Teacher Compensation",,,,,,,,,,
"Topic 4	Education Industry Marketing & Operations",,,,,,,,,,
"Topic 5	Educational Livestreaming & Content Planning",,,,,,,,,,
