Educational background,Clarity of academic qualifications,Position Title,Company Name,Province/Municipality/Autonomous Region (County),Salary Range,Job Responsibilities and Job Requirements,salary_min,salary_max,salary_avg,clean_tokens,Word segmentation_string,Top_Keywords,industry,text,LDA_Topic,Cluster
Undergraduate,Clear academic qualifications,High school information technology teacher,Beijing Zhongguancun Foreign Language School,Beijing Municipality,9000 RMB/month - 11000 RMB/month,"Job responsibilities; Take on the task of teaching high school information technology courses. Job requirements; Graduated from a normal college with a bachelor's degree or above; Possess a high school information technology teacher qualification certificate; Have practical experience in network system maintenance and use; Have the technology and ability to compile, develop and use software such as high school office systems, teaching management systems, and examination systems; Have the technology to use and maintain multimedia technology; Have strong communication and coordination skills; Have a good sense of organization and discipline, can strictly abide by the school's work system and discipline, work seriously, steadily and responsibly; Those with experience in school equipment maintenance, network maintenance, and teaching equipment maintenance are preferred; Be in good health, have a good mentality, and have a strong sense of responsibility. Benefits; Complete salary and benefits; five insurances and one fund, regular training, paid  vacations, and holiday allowances; Tuition discounts for children of faculty and staff; Annual salary adjustments are made to employees' salaries regularly every year based on changes in salary levels and personal performance; Other benefits; birthday benefits, free library, and fitness activity center.",9000.0,11000.0,10000.0,"['job', 'responsibilities', 'take', 'task', 'teaching', 'high', 'school', 'information', 'technology', 'courses', 'job', 'requirements', 'graduated', 'normal', 'college', 'bachelor', ""'s"", 'degree', 'possess', 'high', 'school', 'information', 'technology', 'teacher', 'qualification', 'certificate', 'practical', 'experience', 'network', 'system', 'maintenance', 'use', 'technology', 'ability', 'compile', 'develop', 'use', 'software', 'high', 'school', 'office', 'systems', 'teaching', 'management', 'systems', 'examination', 'systems', 'technology', 'use', 'maintain', 'multimedia', 'technology', 'strong', 'communication', 'coordination', 'skills', 'good', 'sense', 'organization', 'discipline', 'strictly', 'abide', 'school', ""'s"", 'work', 'system', 'discipline', 'work', 'seriously', 'steadily', 'responsibly', 'experience', 'school', 'equipment', 'maintenance', 'network', 'maintenance', 'teaching', 'equipment', 'maintenance', 'preferred', 'good', 'health', 'good', 'mentality', 'strong', 'sense', 'responsibility', 'benefits', 'complete', 'salary', 'benefits', 'five', 'insurances', 'one', 'fund', 'regular', 'training', 'paid', 'vacations', 'holiday', 'allowances', 'tuition', 'discounts', 'children', 'faculty', 'staff', 'annual', 'salary', 'adjustments', 'made', 'employees', 'salaries', 'regularly', 'every', 'year', 'based', 'changes', 'salary', 'levels', 'personal', 'performance', 'benefits', 'birthday', 'benefits', 'free', 'library', 'fitness', 'activity', 'center']",job responsibilities take task teaching high school information technology courses job requirements graduated normal college bachelor 's degree possess high school information technology teacher qualification certificate practical experience network system maintenance use technology ability compile develop use software high school office systems teaching management systems examination systems technology use maintain multimedia technology strong communication coordination skills good sense organization discipline strictly abide school 's work system discipline work seriously steadily responsibly experience school equipment maintenance network maintenance teaching equipment maintenance preferred good health good mentality strong sense responsibility benefits complete salary benefits five insurances one fund regular training paid vacations holiday allowances tuition discounts children faculty staff annual salary adjustments made employees salaries regularly every year based changes salary levels personal performance benefits birthday benefits free library fitness activity center,"['technology', 'systems', 'maintenance', 'school', 'use']",Education,job responsibilities take task teaching high school information technology courses job requirements graduated normal college bachelor 's degree possess high school information technology teacher qualification certificate practical experience network system maintenance use technology ability compile develop use software high school office systems teaching management systems examination systems technology use maintain multimedia technology strong communication coordination skills good sense organization discipline strictly abide school 's work system discipline work seriously steadily responsibly experience school equipment maintenance network maintenance teaching equipment maintenance preferred good health good mentality strong sense responsibility benefits complete salary benefits five insurances one fund regular training paid vacations holiday allowances tuition discounts children faculty staff annual salary adjustments made employees salaries regularly every year based changes salary levels personal performance benefits birthday benefits free library fitness activity center,2,1
Undergraduate,Clear academic qualifications,High school information technology teacher,Kunming Huakun Education and Training School,Yunnan Province,6000 RMB/month - 8000 RMB/month,Job responsibilities; Computer major Job requirements; Bachelor's degree Job benefits; 7000,6000.0,8000.0,7000.0,"['job', 'responsibilities', 'computer', 'major', 'job', 'requirements', 'bachelor', ""'s"", 'degree', 'job', 'benefits', '7000']",job responsibilities computer major job requirements bachelor 's degree job benefits 7000,"['7000', 'job', 'major', 'computer', 'bachelor']",Education,job responsibilities computer major job requirements bachelor 's degree job benefits 7000,2,1
Undergraduate,Clear academic qualifications,High school information technology teacher,Peking University New Century Experimental School,Beijing Municipality,8000 RMB/month - 13000 RMB/month,"A high school general information technology teacher is required to be able to serve as a class teacher and assist the director of the information center in solving school information construction tasks, such as maintenance of multimedia blackboards, maintenance of computers, and daily use of lecture halls.",8000.0,13000.0,10500.0,"['high', 'school', 'general', 'information', 'technology', 'teacher', 'required', 'able', 'serve', 'class', 'teacher', 'assist', 'director', 'information', 'center', 'solving', 'school', 'information', 'construction', 'tasks', 'maintenance', 'multimedia', 'blackboards', 'maintenance', 'computers', 'daily', 'use', 'lecture', 'halls']",high school general information technology teacher required able serve class teacher assist director information center solving school information construction tasks maintenance multimedia blackboards maintenance computers daily use lecture halls,"['information', 'maintenance', 'blackboards', 'halls', 'teacher']",Education,high school general information technology teacher required able serve class teacher assist director information center solving school information construction tasks maintenance multimedia blackboards maintenance computers daily use lecture halls,2,1
Undergraduate,Clear academic qualifications,High school information technology teacher,Toddler Education,Beijing Municipality,12000 RMB/month - 24000 RMB/month,"Job Responsibilities; Responsible for teaching implementation, complete the teaching of high school information technology courses according to school requirements; Curriculum development, participate in school-based curriculum development, and update teaching content in combination with the forefront of the subject; Student competition guidance, organize and guide students to participate in various science and technology innovation competitions, programming competitions, Olympic competitions and other activities; Participate in the teaching and research activities of the subject group, regularly conduct open classes, listen to classes and evaluate classes, and optimize teaching methods; School information construction management, such as campus network maintenance, teaching equipment management, teacher information technology application ability training, etc.; Complete the teaching work related to the academic level examination, and cooperate with the school to complete the tasks related to education informatization. Job Requirements; Have high school information technology teaching experience, Computer science and technology, educational technology, software engineering, communication engineering and other related majors are preferred; Experience in school information construction and overall management is preferred; Have strong expression skills, good at communicating with students and parents, clear and organized, flexible thinking, positive attitude, and integrity. Benefits;  Annual salary; The comprehensive income of full-time teachers in the subject starts from 120,000 yuan; The comprehensive annual income of backbone teachers  starts from 200,000 yuan; The school will give special treatment to particularly outstanding teachers , and specific interviews are required.  Other benefits Enjoy five insurances and one fund; The school provides single apartments; Enjoy the school's comprehensive training system, promotion opportunities, and salary increase channels; Enjoy national statutory holidays and paid winter and summer vacations; Enjoy 50% tuition reduction for teachers' children studying in schools under the group.",12000.0,24000.0,18000.0,"['job', 'responsibilities', 'responsible', 'teaching', 'implementation', 'complete', 'teaching', 'high', 'school', 'information', 'technology', 'courses', 'according', 'school', 'requirements', 'curriculum', 'development', 'participate', 'school-based', 'curriculum', 'development', 'update', 'teaching', 'content', 'combination', 'forefront', 'subject', 'student', 'competition', 'guidance', 'organize', 'guide', 'students', 'participate', 'various', 'science', 'technology', 'innovation', 'competitions', 'programming', 'competitions', 'olympic', 'competitions', 'activities', 'participate', 'teaching', 'research', 'activities', 'subject', 'group', 'regularly', 'conduct', 'open', 'classes', 'listen', 'classes', 'evaluate', 'classes', 'optimize', 'teaching', 'methods', 'school', 'information', 'construction', 'management', 'campus', 'network', 'maintenance', 'teaching', 'equipment', 'management', 'teacher', 'information', 'technology', 'application', 'ability', 'training', 'etc', 'complete', 'teaching', 'work', 'related', 'academic', 'level', 'examination', 'cooperate', 'school', 'complete', 'tasks', 'related', 'education', 'informatization', 'job', 'requirements', 'high', 'school', 'information', 'technology', 'teaching', 'experience', 'computer', 'science', 'technology', 'educational', 'technology', 'software', 'engineering', 'communication', 'engineering', 'related', 'majors', 'preferred', 'experience', 'school', 'information', 'construction', 'overall', 'management', 'preferred', 'strong', 'expression', 'skills', 'good', 'communicating', 'students', 'parents', 'clear', 'organized', 'flexible', 'thinking', 'positive', 'attitude', 'integrity', 'benefits', 'annual', 'salary', 'comprehensive', 'income', 'full-time', 'teachers', 'subject', 'starts', '120,000', 'yuan', 'comprehensive', 'annual', 'income', 'backbone', 'teachers', 'starts', '200,000', 'yuan', 'school', 'give', 'special', 'treatment', 'particularly', 'outstanding', 'teachers', 'specific', 'interviews', 'required', 'benefits', 'enjoy', 'five', 'insurances', 'one', 'fund', 'school', 'provides', 'single', 'apartments', 'enjoy', 'school', ""'s"", 'comprehensive', 'training', 'system', 'promotion', 'opportunities', 'salary', 'increase', 'channels', 'enjoy', 'national', 'statutory', 'holidays', 'paid', 'winter', 'summer', 'vacations', 'enjoy', '50', 'tuition', 'reduction', 'teachers', 'children', 'studying', 'schools', 'group']","job responsibilities responsible teaching implementation complete teaching high school information technology courses according school requirements curriculum development participate school-based curriculum development update teaching content combination forefront subject student competition guidance organize guide students participate various science technology innovation competitions programming competitions olympic competitions activities participate teaching research activities subject group regularly conduct open classes listen classes evaluate classes optimize teaching methods school information construction management campus network maintenance teaching equipment management teacher information technology application ability training etc complete teaching work related academic level examination cooperate school complete tasks related education informatization job requirements high school information technology teaching experience computer science technology educational technology software engineering communication engineering related majors preferred experience school information construction overall management preferred strong expression skills good communicating students parents clear organized flexible thinking positive attitude integrity benefits annual salary comprehensive income full-time teachers subject starts 120,000 yuan comprehensive annual income backbone teachers starts 200,000 yuan school give special treatment particularly outstanding teachers specific interviews required benefits enjoy five insurances one fund school provides single apartments enjoy school 's comprehensive training system promotion opportunities salary increase channels enjoy national statutory holidays paid winter summer vacations enjoy 50 tuition reduction teachers children studying schools group","['school', 'teaching', 'technology', 'enjoy', 'competitions']",Education,"job responsibilities responsible teaching implementation complete teaching high school information technology courses according school requirements curriculum development participate school-based curriculum development update teaching content combination forefront subject student competition guidance organize guide students participate various science technology innovation competitions programming competitions olympic competitions activities participate teaching research activities subject group regularly conduct open classes listen classes evaluate classes optimize teaching methods school information construction management campus network maintenance teaching equipment management teacher information technology application ability training etc complete teaching work related academic level examination cooperate school complete tasks related education informatization job requirements high school information technology teaching experience computer science technology educational technology software engineering communication engineering related majors preferred experience school information construction overall management preferred strong expression skills good communicating students parents clear organized flexible thinking positive attitude integrity benefits annual salary comprehensive income full-time teachers subject starts 120,000 yuan comprehensive annual income backbone teachers starts 200,000 yuan school give special treatment particularly outstanding teachers specific interviews required benefits enjoy five insurances one fund school provides single apartments enjoy school 's comprehensive training system promotion opportunities salary increase channels enjoy national statutory holidays paid winter summer vacations enjoy 50 tuition reduction teachers children studying schools group",2,1
Undergraduate,Clear academic qualifications,Primary school information technology teacher (winter and summer vacations + weekends off),"Huacheng School, Changping District, Beijing",Beijing Municipality,6000 RMB/month - 10000 RMB/month,"Information Technology TeacherEducation and Qualifications; Bachelor degree or above, major in computer, educational technology or other related majors, hold a primary school information technology teacher qualification certificateProfessional ability; Familiar with programming teaching such as Scratch and Python, able to carry out courses such as artificial intelligence and maker education, master multimedia courseware production technology, have equipment maintenance and network management capabilitiesPreferred conditions; Experience in guiding robot competitions, obtain computer qualification certificates, and be able to develop school-based information technology courses",6000.0,10000.0,8000.0,"['information', 'technology', 'teachereducation', 'qualifications', 'bachelor', 'degree', 'major', 'computer', 'educational', 'technology', 'related', 'majors', 'hold', 'primary', 'school', 'information', 'technology', 'teacher', 'qualification', 'certificateprofessional', 'ability', 'familiar', 'programming', 'teaching', 'scratch', 'python', 'able', 'carry', 'courses', 'artificial', 'intelligence', 'maker', 'education', 'master', 'multimedia', 'courseware', 'production', 'technology', 'equipment', 'maintenance', 'network', 'management', 'capabilitiespreferred', 'conditions', 'experience', 'guiding', 'robot', 'competitions', 'obtain', 'computer', 'qualification', 'certificates', 'able', 'develop', 'school-based', 'information', 'technology', 'courses']",information technology teachereducation qualifications bachelor degree major computer educational technology related majors hold primary school information technology teacher qualification certificateprofessional ability familiar programming teaching scratch python able carry courses artificial intelligence maker education master multimedia courseware production technology equipment maintenance network management capabilitiespreferred conditions experience guiding robot competitions obtain computer qualification certificates able develop school-based information technology courses,"['technology', 'information', 'computer', 'qualification', 'capabilitiespreferred']",Education,information technology teachereducation qualifications bachelor degree major computer educational technology related majors hold primary school information technology teacher qualification certificateprofessional ability familiar programming teaching scratch python able carry courses artificial intelligence maker education master multimedia courseware production technology equipment maintenance network management capabilitiespreferred conditions experience guiding robot competitions obtain computer qualification certificates able develop school-based information technology courses,2,1
Undergraduate,Clear academic qualifications,High school information technology teacher,Focus training,Inner Mongolia Autonomous Region,6000 RMB/month - 11000 RMB/month,"Job Responsibilities Responsible for high school information technology teaching Feedback to parents on teaching content and students' mastery Improve students' situation or fill in gaps Requirements; Have relevant teaching experience, accept outstanding fresh graduates Preference will be given to those with teaching qualifications",6000.0,11000.0,8500.0,"['job', 'responsibilities', 'responsible', 'high', 'school', 'information', 'technology', 'teaching', 'feedback', 'parents', 'teaching', 'content', 'students', 'mastery', 'improve', 'students', 'situation', 'fill', 'gaps', 'requirements', 'relevant', 'teaching', 'experience', 'accept', 'outstanding', 'fresh', 'graduates', 'preference', 'given', 'teaching', 'qualifications']",job responsibilities responsible high school information technology teaching feedback parents teaching content students mastery improve students situation fill gaps requirements relevant teaching experience accept outstanding fresh graduates preference given teaching qualifications,"['teaching', 'mastery', 'preference', 'gaps', 'fill']",Education,job responsibilities responsible high school information technology teaching feedback parents teaching content students mastery improve students situation fill gaps requirements relevant teaching experience accept outstanding fresh graduates preference given teaching qualifications,2,1
Undergraduate,Clear academic qualifications,High school information technology teacher,Shahe Experimental Middle School,Hebei Province,5000 RMB/month - 6000 RMB/month,"Graduates of undergraduate degree or above, who have obtained high school teacher qualification certificate",5000.0,6000.0,5500.0,"['graduates', 'undergraduate', 'degree', 'obtained', 'high', 'school', 'teacher', 'qualification', 'certificate']",graduates undergraduate degree obtained high school teacher qualification certificate,"['obtained', 'graduates', 'undergraduate', 'qualification', 'certificate']",Education,graduates undergraduate degree obtained high school teacher qualification certificate,2,1
Undergraduate,Clear academic qualifications,High school information technology teacher,Ruian Chunlei After-school Care,Zhejiang Province,5000 RMB/month - 6000 RMB/month,"Due to development needs, we are recruiting several tutoring teachers. The requirements for high school information technology are as follows; Bachelor's degree, at least half a year of teaching experience and solid knowledge. Meticulous and patient work, strong execution, good at teaching students in accordance with their aptitude, and full of responsibility and good communication skills. Those with teaching qualifications will be given priority and preferential treatment.",5000.0,6000.0,5500.0,"['due', 'development', 'needs', 'recruiting', 'several', 'tutoring', 'teachers', 'requirements', 'high', 'school', 'information', 'technology', 'follows', 'bachelor', ""'s"", 'degree', 'least', 'half', 'year', 'teaching', 'experience', 'solid', 'knowledge', 'meticulous', 'patient', 'work', 'strong', 'execution', 'good', 'teaching', 'students', 'accordance', 'aptitude', 'full', 'responsibility', 'good', 'communication', 'skills', 'teaching', 'qualifications', 'given', 'priority', 'preferential', 'treatment']",due development needs recruiting several tutoring teachers requirements high school information technology follows bachelor 's degree least half year teaching experience solid knowledge meticulous patient work strong execution good teaching students accordance aptitude full responsibility good communication skills teaching qualifications given priority preferential treatment,"['teaching', 'several', 'preferential', 'aptitude', 'due']",Education,due development needs recruiting several tutoring teachers requirements high school information technology follows bachelor 's degree least half year teaching experience solid knowledge meticulous patient work strong execution good teaching students accordance aptitude full responsibility good communication skills teaching qualifications given priority preferential treatment,2,1
Undergraduate,Clear academic qualifications,High school information technology teacher,Anyang Zhenzhong Education Consulting Company,Henan Province,5000 RMB/month - 6000 RMB/month,"Responsible for the teaching of high school information technology courses, regularly participate in teaching research, training, centralized lesson preparation, lectures and meetings and other activities",5000.0,6000.0,5500.0,"['responsible', 'teaching', 'high', 'school', 'information', 'technology', 'courses', 'regularly', 'participate', 'teaching', 'research', 'training', 'centralized', 'lesson', 'preparation', 'lectures', 'meetings', 'activities']",responsible teaching high school information technology courses regularly participate teaching research training centralized lesson preparation lectures meetings activities,"['centralized', 'lectures', 'teaching', 'lesson', 'preparation']",Education,responsible teaching high school information technology courses regularly participate teaching research training centralized lesson preparation lectures meetings activities,2,1
Undergraduate,Clear academic qualifications,Information Technology Teacher,Huaihua Qihang Health School,Hunan Province,5000 RMB/month - 6000 RMB/month,Responsible for the teaching of information technology courses Serving as a class teacher,5000.0,6000.0,5500.0,"['responsible', 'teaching', 'information', 'technology', 'courses', 'serving', 'class', 'teacher']",responsible teaching information technology courses serving class teacher,"['serving', 'class', 'teacher', 'technology', 'courses']",Education,responsible teaching information technology courses serving class teacher,2,1
